100
1	2502505
587	233	220
30
1	108	0	76	0	30	1	7	1
2	110	0	43	1	25	1	4	1
3	92	1	81	1	55	1	5	1
4	81	0	33	1	28	1	5	1
5	120	1	99	1	73	1	2	1
6	111	0	70	1	48	1	4	1
7	98	0	72	1	46	1	5	1
8	95	0	66	0	31	1	5	1
9	85	0	84	0	30	1	5	1
10	71	0	32	1	25	1	7	1
11	36	1	34	1	25	1	8	1
12	97	1	67	1	62	1	6	1
13	33	1	25	1	23	1	4	1
14	95	0	27	1	26	1	4	1
15	94	0	81	1	44	1	4	1
16	41	1	39	1	38	1	3	2
17	104	1	74	1	65	1	5	2
18	52	1	41	1	36	1	4	2
19	104	0	78	0	34	1	3	2
20	83	1	77	1	46	1	3	2
21	74	0	56	1	30	1	6	2
22	95	1	80	1	63	1	5	2
23	56	1	35	1	33	1	6	2
24	96	1	95	1	49	1	3	2
25	88	0	68	0	30	1	3	2
26	80	0	65	0	29	1	3	2
27	60	1	55	1	41	1	5	2
28	113	0	56	0	20	1	8	2
29	93	0	31	1	31	1	3	2
30	87	0	83	0	26	1	7	2
2	2502605
587	233	220
30
1	49	0	25	1	21	1	7	1
2	60	1	51	1	41	1	6	1
3	103	1	76	1	64	1	4	1
4	95	1	70	1	62	1	5	1
5	111	0	49	1	26	1	3	1
6	85	1	84	1	72	1	4	1
7	48	1	36	1	31	1	1	1
8	86	0	76	0	38	1	7	1
9	71	1	48	1	47	1	4	1
10	90	0	43	1	33	1	5	1
11	98	0	52	1	44	1	3	1
12	73	0	37	1	23	1	6	1
13	61	1	48	1	39	1	3	1
14	75	1	75	1	63	1	6	1
15	74	1	42	1	40	1	5	1
16	98	0	88	0	26	1	2	2
17	97	0	69	1	41	1	5	2
18	89	1	77	1	46	1	5	2
19	73	1	64	1	55	1	6	2
20	84	1	69	1	66	1	2	2
21	38	1	37	1	29	1	4	2
22	61	1	47	1	39	1	2	2
23	57	1	44	1	42	1	4	2
24	98	0	79	0	20	1	2	2
25	83	1	76	1	57	1	9	2
26	75	0	62	1	36	1	4	2
27	60	1	55	1	45	1	8	2
28	79	1	64	1	40	1	5	2
29	103	0	76	1	44	1	4	2
30	96	1	82	1	59	1	2	2
3	2502705
587	233	220
30
1	97	0	81	0	27	1	2	1
2	102	0	78	0	39	1	4	1
3	113	0	46	1	36	1	5	1
4	66	1	50	1	42	1	5	1
5	101	0	30	1	26	1	7	1
6	100	0	56	1	35	1	4	1
7	91	0	50	1	40	1	7	1
8	106	1	61	1	56	1	3	1
9	103	1	63	1	58	1	5	1
10	75	1	57	1	41	1	3	1
11	71	1	68	1	64	1	6	1
12	85	0	67	1	39	1	4	1
13	97	1	63	1	56	1	5	1
14	61	0	48	1	30	1	4	1
15	80	0	54	1	35	1	2	1
16	73	1	66	1	62	1	3	2
17	90	1	74	1	69	1	2	2
18	118	0	61	1	40	1	7	2
19	94	0	43	1	31	1	4	2
20	90	0	49	1	30	1	4	2
21	61	0	43	0	20	1	2	2
22	74	1	73	1	59	1	3	2
23	58	1	53	1	51	1	7	2
24	100	1	62	1	53	1	6	2
25	64	1	46	1	45	1	10	2
26	83	0	71	0	34	1	4	2
27	80	0	51	1	34	1	4	2
28	71	1	60	1	46	1	4	2
29	113	0	56	1	46	1	4	2
30	110	0	76	0	31	1	7	2
4	2502805
587	233	220
30
1	113	0	92	0	33	1	4	1
2	52	1	37	1	28	1	6	1
3	57	1	33	1	29	1	3	1
4	99	0	37	1	30	1	8	1
5	92	0	64	1	33	1	2	1
6	119	0	59	1	39	1	4	1
7	54	1	52	1	49	1	7	1
8	75	0	45	1	35	1	6	1
9	79	1	68	1	44	1	2	1
10	116	0	49	1	47	1	6	1
11	83	0	44	1	23	1	9	1
12	98	1	96	1	56	1	2	1
13	78	1	72	1	57	1	3	1
14	98	0	88	1	47	1	3	1
15	41	1	33	1	31	1	3	1
16	59	1	35	1	34	1	4	2
17	83	0	78	0	37	1	8	2
18	68	0	34	1	33	1	6	2
19	103	0	69	1	49	1	4	2
20	97	0	53	1	32	1	6	2
21	92	1	63	1	50	1	5	2
22	108	0	57	1	40	1	5	2
23	62	1	60	1	58	1	5	2
24	101	0	46	1	25	1	3	2
25	99	0	53	1	36	1	3	2
26	67	1	67	1	55	1	2	2
27	99	0	46	1	38	1	4	2
28	103	1	80	1	79	1	6	2
29	91	0	69	0	32	1	9	2
30	71	0	63	1	33	1	8	2
5	2502905
587	233	220
30
1	88	0	54	1	39	1	2	1
2	94	0	54	1	36	1	4	1
3	87	0	77	1	43	1	3	1
4	100	1	80	1	72	1	5	1
5	83	0	40	1	36	1	6	1
6	91	0	54	0	22	1	5	1
